City,Cloudiness,Country,Humidity,Lat,Long,Max Temp,Wind Speed
tigil,100,RU,91,57.8,158.6667,-4.02,2.4
grindavik,0,IS,81,63.8424,-22.4338,7.26,2.57
tanggu,4,CN,57,39.0211,117.6469,10.98,2.25
lages,100,BR,81,-27.8161,-50.3261,17.76,3.38
ostashkov,56,RU,79,57.1467,33.1075,10.07,3.94
zhob,0,PK,14,31.3411,69.4481,19.08,0.86
malartic,90,CA,64,48.1335,-78.1328,-0.1,2.62
nguruka,40,TZ,25,-5.1092,31.0419,31.9,3.64
beihai,99,CN,89,21.4833,109.1,20.91,5.26
silver city,1,US,36,32.7701,-108.2803,12.02,2.68
raga,26,SS,22,8.4596,25.678,34.64,1.87
les cayes,95,HT,69,18.2,-73.75,28.84,4.34
iskateley,98,RU,87,67.6803,53.1512,-9.24,2.88
rawson,2,AR,38,-43.3002,-65.1023,13.05,13.28
skelleftea,90,SE,69,64.7507,20.9528,7.22,0.45
bandarbeyla,6,SO,77,9.4942,50.8122,26.43,5.74
moerai,21,PF,61,-22.4333,-151.3333,21.86,7.19
kimry,51,RU,85,56.8667,37.35,10.1,3.85
along,1,IN,75,28.1667,94.7667,17.64,0.97
am timan,63,TD,16,11.0297,20.2827,36.51,1.3
freeport,75,US,85,40.6576,-73.5832,17.79,4.02
peniche,99,PT,93,39.3558,-9.3811,21.53,4.19
shama,100,CN,96,33.6102,104.2852,6.2,1.6
college,90,US,86,64.8569,-147.8028,-4.03,0.0
esperance,0,AU,73,-33.8667,121.9,12.91,6.89
petropavlovsk-kamchatskiy,0,RU,80,53.0452,158.6483,-0.67,3.0
sao joao da barra,100,BR,83,-21.6403,-41.0511,24.05,5.19
leh,4,IN,56,34.1667,77.5833,-1.91,0.27
charters towers,1,AU,75,-20.1,146.2667,23.21,2.22
port blair,100,IN,80,11.6667,92.75,27.71,1.79
belmonte,89,BR,77,-15.8631,-38.8828,26.28,2.84
lompoc,90,US,96,34.6391,-120.4579,13.56,0.0
samarinda,97,ID,99,-0.5,117.15,23.31,0.93
chavakkad,100,IN,87,10.5333,76.05,26.65,2.32
touros,39,BR,58,-5.1989,-35.4608,31.5,7.15
coquimbo,90,CL,87,-29.9533,-71.3436,12.85,4.12
tongliao,56,CN,58,43.6125,122.2653,2.45,7.06
marzuq,98,YE,39,14.4,46.4667,26.15,1.7
mantua,100,IT,78,45.1667,10.7833,17.63,0.45
zhigansk,75,RU,99,66.7697,123.3711,-20.73,4.75
tezu,0,IN,60,27.9167,96.1667,19.86,1.77
orlik,99,RU,69,52.5178,99.825,-1.88,2.09
havoysund,69,NO,70,70.9963,24.6622,3.49,2.09
lorengau,100,PG,79,-2.0226,147.2712,28.03,2.71
talaya,100,RU,98,61.3833,152.75,-15.33,1.69
guhagar,11,IN,69,17.4842,73.1929,26.11,3.25
auki,67,SB,88,-8.7676,160.7034,25.65,1.93
lagoa,100,PT,89,39.05,-27.9833,21.35,11.43
pimentel,20,PE,77,-6.8367,-79.9342,18.16,3.09
alofi,100,NU,88,-19.0595,-169.9187,20.94,1.54
sao felix do xingu,68,BR,41,-6.6447,-51.995,34.09,1.73
gonbad-e qabus,32,IR,50,37.25,55.1672,17.53,1.76
valparaiso,90,CL,90,-33.0393,-71.6273,15.51,2.57
blagoyevo,100,RU,95,63.3667,47.9167,0.82,2.56
maues,3,BR,42,-3.3836,-57.7186,34.91,1.48
vila do maio,93,CV,78,15.1333,-23.2167,27.44,7.38
yuryuzan,100,RU,94,54.8633,58.4219,2.05,6.04
plettenberg bay,2,ZA,72,-34.0527,23.3716,19.55,3.61
youghal,30,IE,85,51.95,-7.8506,13.34,6.49
sao francisco de paula,79,BR,67,-29.4481,-50.5836,24.6,3.23
sabya,95,SA,50,17.1495,42.6254,32.79,5.16
pervomayskiy,7,RU,82,53.2485,40.2871,10.63,4.01
rio pomba,100,BR,88,-21.2747,-43.1792,23.3,1.7
candolim,40,IN,74,15.5181,73.7626,29.0,3.6
hobyo,31,SO,68,5.3505,48.5268,27.75,7.11
chipata,8,ZM,11,-13.6333,32.65,34.05,2.02
ust-nera,100,RU,96,64.5667,143.2,-20.92,0.62
medea,100,DZ,27,36.2642,2.7539,22.25,5.48
beaufort,100,MY,94,5.3473,115.7455,27.09,0.89
mikkeli,90,FI,87,61.6886,27.2723,8.06,3.09
road town,20,VG,70,18.4167,-64.6167,29.05,4.12
trincomalee,100,LK,76,8.5711,81.2335,27.68,4.72
nkhotakota,8,MW,43,-12.9274,34.2961,29.59,3.39
codrington,0,AU,90,-38.2667,141.9667,6.57,2.82
havre-saint-pierre,1,CA,75,50.2334,-63.5986,4.33,2.06
puerto baquerizo moreno,87,EC,87,-0.9,-89.6,21.12,4.09
balykshi,40,KZ,71,47.0667,51.8667,11.0,2.0
two hills,1,CA,100,53.7169,-111.7518,-3.51,5.66
daru,81,PG,87,-9.0763,143.2092,26.69,4.1
comodoro rivadavia,40,AR,57,-45.8667,-67.5,9.92,9.77
aklavik,90,CA,86,68.2191,-135.0107,-7.6,2.57
apartado,100,CO,91,7.883,-76.6259,24.43,2.5
moyale,100,KE,53,3.5167,39.0584,24.59,6.54
callaway,75,US,79,30.153,-85.5699,16.1,1.79
wajima,100,JP,65,37.4,136.9,15.92,3.22
damaturu,100,NG,11,11.747,11.9608,37.38,5.27
nuuk,75,GL,70,64.1835,-51.7216,3.34,10.8
severo-yeniseyskiy,100,RU,85,60.3725,93.0408,-8.4,5.77
jiwani,3,PK,59,25.05,61.7417,27.98,5.57
payo,70,ID,96,-3.7508,103.6372,23.96,0.89
abadan,0,IR,58,30.3392,48.3043,32.97,4.12
olinda,40,BR,58,-8.0089,-34.8553,28.85,4.12
fallon,1,US,93,39.4735,-118.7774,7.93,0.0
toora-khem,100,RU,67,52.4675,96.11,0.97,0.68
turukhansk,99,RU,93,65.8167,87.9833,-8.09,5.95
ormara,2,PK,63,25.2088,64.6357,27.54,2.84
uryupinsk,5,RU,62,50.8047,42.0138,8.99,2.66
sobolevo,68,RU,74,54.4299,31.8996,10.07,4.51
north vanlaiphai,6,IN,92,23.1333,93.0667,15.67,0.45
ayorou,48,NE,10,14.7308,0.9174,38.89,3.14
hoi an,23,VN,89,15.8794,108.335,26.98,1.09
helong,100,CN,71,42.5397,128.9972,7.32,1.7
tommot,23,RU,91,58.9564,126.2925,-11.11,1.17
deogarh,97,IN,81,21.5333,84.7333,23.9,0.87
yumen,2,CN,35,40.2833,97.2,6.27,3.69
tongzi,100,CN,82,28.7829,105.0877,16.43,0.37
kifri,100,IQ,28,34.6959,44.9661,29.06,4.36
nogent-le-rotrou,100,FR,73,48.3333,1.0,15.0,6.26
aripuana,12,BR,41,-9.1667,-60.6333,34.71,0.96
podor,54,MR,24,16.6527,-14.9587,35.62,7.61
sola,4,VU,67,-13.8833,167.55,27.58,6.92
langsa,92,ID,89,4.4683,97.9683,24.64,0.89
aksu,8,CN,42,41.1231,80.2644,10.55,3.35
